"STYLE_CD","COUNT(*)"
"01POM16801",3
"01SAM16121",3
"01SAM17721",3
"01SAW17502",3
"05HA45021",1
"05PNA15302",6
"05QHS19401",3
"05QIX16408",6
"05TDW16333",3
"05UBW16002",6
"05UCW15231",6
"11FCW20001",3
"11JAW15100",3
"11PAW15100",4
"11PAW15101",4
"11TAW17177",6
"11UCW15600",3
"21JFX22911",3
"21PNX20977",3
"21SCM16503",3
"21TAM16171",6
"22JJX22922",1
"25Z1W15101",14
"26TBA16205",6
"26TBA16206",3
"29AAX22911",3
"29AAX22974",3
"29AAX22975",3
"29AAX22984",6
"29LAX22920",6
"29LAX22930",6
"29LAX22940",12
"29REX22920",3
"29REX22930",3
"2AIAW21002",3
"2AJAX20002",6
"2AJAX20003",6
"31Z1M16531",3
"31Z1M16541",3
"31Z1W15411",4
"41CAS16151",3
"41PDX21121",3
"41PNW15602",3
"51SDW17413",12
"51WAW15431",4
"55SAM16210",3
"55SAM16420",3
"55SCM17300",6
"55SCM18170",4
"55SCM18310",4
"55SM52231",6
"55Z1X16302",4
"62SAA17551",4
"62SAM16451",3
"71WAA16551",3
"77DAW18250",3
"7SGDX15002",1
"81ACX16784",6
"81ACX16813",6
"81ACX16881",6
"81ACX16883",6
"81ACX16884",6
"81BRX16832",6
"81BTX16224",6
"81BTX17101",5
AEABX16004,6
AEABX16121,6
AEABX16141,3
AEABX17141,3
AEABX19112,3
AEABX19121,3
AEABX19313,3
AEABX19315,3
AEABX21711,3
AEABX22111,3
AEAIA15191,3
AEAIW15571,3
AEAIW15601,3
AEAIX16005,3
AEAIX16042,3
AEAIX16082,3
AEAIX16211,3
AEAIX16342,3
AEAIX16431,3
AEAIX16461,6
AEAIX16531,3
AEAIX16571,3
AEAIX16911,3
AEAIX17231,3
AEAIX17301,3
AEAIX17421,3
AEAIX17471,3
AEAIX17482,3
AEAIX17521,3
AEAIX17561,3
AEAIX17631,3
AEAIX17911,3
AEAIX18113,3
AEAIX21511,3
AEAIX21512,3
AEAJM20114,3
AEAJM20115,6
AEAJW15181,6
AEAJW20313,3
AEAJW20411,6
AEAJX19115,6
AEBAM22112,4
AEBAX16431,3
AELAX16411,6
AELAX17411,3
AELAX17461,3
AELAX18115,3
AELAX18211,6
AELDM22303,3
AELDM22411,3
AERAM20103,3
AHBM53211,3
AHBM54121,6
AHBM54531,3
AHBS42921,1
AHBS52021,1
AHBS52321,3
AHBS53911,4
AHBW45111,1
AHBW45131,1
AHBW48821,9
AHBW49051,4
AHCAM21901,6
AHCAS20101,6
AHCAW15921,4
AHCAW15931,6
AHCAW15937,3
AHCAW15951,6
AHCAW15961,3
AHCAW16020,12
AHCAW16401,3
AHCAW16731,6
AHCAW17702,6
